Indication_ID,Indication_Name
110,Allergic conditions
111,Allergic conjunctivitis
112,Allergic contact dermatitis
113,Allergic dermatitis
114,Allergic otitis externa
115,Allergic rhinitis
116,Allergic rhinitis accompanied by nasal congestion
117,Allergic skin conditions
118,Allergies
119,Allogeneic bone marrow transplantation
120,Allogeneic or autologous haematopoietic progenitor cell transplantation (HPCT)
121,Alopecia areata
122,Altitude sickness
123,Aluminum overload
124,Alzheimer’s disease
125,Amblyopia
126,Amenorrhea- galactorrhea syndrome
127,Amoebiasis
128,Amoebic dysentery
129,Amyotrophic lateral sclerosis (ALS)
130,Anaemia
131,Anaemia due to inflammatory bowel disease
132,Anaemia in chemotherapy patients
133,Anaemia in zidovudine-treated HIV-infected patients
134,Anaemia of chronic renal failure
135,Anaemia of prematurity
136,Anaemia related to non-myeloid malignant disease chemotherapy
137,Anaerobic bacterial infections
138,Anaesthesia
139,Anal fissure
140,Anal fissures; pruritus ani and similar conditions of the anal area
141,Anal itching
142,Anal or vulvar pruritus
143,Anal pruritus
144,Analgesia
145,Analgesia during labour
146,Anaphylactic shock
147,Ancylostomiasis
148,Androgenic alopecia
149,Anemia; vitamin & mineral deficiency
150,Anesthesia adjunct
151,Angina pectoris
152,Angiocardiography
153,Angiography
154,Angioplasty
155,Angular cheilitis
156,Anitis
157,Ankylosing spondylitis
158,Anogenital pruritus
159,Anogenital warts
160,Anorexia and cachexia
161,Anorexia nervosa
162,Anovulatory infertility
163,Anthrax
164,Anti - inflammatory treatment
165,Antibiotic-associated colitis
166,Antidepressant-induced inorgasmia
167,Anti-hypertensive
168,Anti-inflammatory or immunosuppressive
169,Antioxidant
170,Antiseptic skin cleanser
171,Anxiety
172,Apathy
173,Apnoea
174,Appetite stimulation
175,Apthous ulcer
176,Arrhythmias
177,Arterial Thrombosis or Embolism
178,Arteriography
179,Arteriovenous Cannulae Occlusion
180,Artherosclerotic vascular disease
181,Arthritis
182,Artificial sweetener
183,Artificially ventilated patients
184,Ascariasis
185,Ascites
186,Aspergillosis
187,Aspiration pneumonia
188,Assisted reproductive technologies
189,Asthma
190,Asthma prophylaxis
191,Asthmatic bronchitis
192,Astrocytoma
193,Atelectasis
194,Atherosclerosis
195,Athlete’s foot
196,Atopic dermatitis
197,Atopic eczema
198,Atopic or contact dermatoses
199,Atrial fibrillation
200,Atrial fibrillation and atrial flutter
201,Atrial flutter
202,Attention deficit hyperactivity disorder (ADHD)
203,Atypical pneumonia
204,Auditory vestibular and visual disorder
205,Aural infections
206,Auto-immune diseases
207,Babesiosis
208,Back pain
209,Backache
210,Bacteraemia
211,Bacteraemia and meningitis
212,Bacteraemic pneumonia
213,Bacterial and trichomonal vaginitis
214,Bacterial Conjunctivitis
215,Bacterial corneal ulcer
216,Bacterial ear infections
217,Bacterial endocarditis
218,Bacterial eye infections
219,Bacterial infections
220,Bacterial meningitis
221,Bacterial Meningitis caused by Staphylococcus
222,Bacterial ocular infections
223,Bacterial or fungal vaginal infection
224,Bacterial Pneumonia caused by Staphylococcus
225,Bacterial prostatis
226,Bacterial septicemia
227,Bacterial skin infections
228,Bacterial vaginosis
229,Bad breath
230,Balanced anaesthesia
231,Balantidiasis
232,Basal cell carcinoma
233,Bed sore
234,Behavioral disturbances
235,Behcet’s syndrome
236,Bell’s palsy
237,Benign breast disorders
238,Benign gastric and duodenal ulceration
239,Benign prostatic hyperplasia (BPH)
240,Benzodiazepine overdose
241,Benzodiazepine-induced sedation
242,Beriberi and polyneuritis
243,Beriberi and Wernick’s encephalopathy
244,Biliary colic
245,Biliary dyskinesia
246,Biliary-tract infections
247,Binge eating disorder
248,Bipolar disorder
249,Bipolar mania
250,Bites
251,Bladder carcinoma
252,Bladder spasms
253,Blastocystis hominis infection
254,Bleeding or blood clotting problems
255,Blepharitis
256,Blepharospasm
257,Blisters
258,Block the virus from multiplying
259,Body dysmorphic disorder
260,Bodyache
261,Boils
262,Bone and Joint Infections
263,Bone malignancies
264,Bone marrow stimulation
265,Bone marrow transplantation
266,Botulism
267,Bowel evacuation
268,Braces
269,Bradycardia
270,Brain abscesses
271,Brain tumours
272,Breakthrough pain
273,Breast cancer
274,Breast cancer and bone metastases
275,Breast cancer in postmenopausal women
276,Breast cancers and glioblastoma multiforme of the brain
277,Breast pain
278,Bronchial asthma
279,Bronchiectasis
280,Bronchitis
281,Bronchodilator
282,Bronchopneumonia
283,Brucellosis
284,Bulimia nervosa
285,Bullous dermatitis herpetiformis
286,Burkitt's lymphoma
287,Burn injury
288,Burning and irritation of the eye
289,Burning feet syndrome
290,Burning mouth syndrome
291,Burning sansation
292,Burning; pain and skin inflammations
293,Burns
294,Bursitis
295,B-vitamins and Zinc deficiencies
296,Calcium & vitamin D supplement
297,Calcium and magnesium deficiencies
298,Calcium and vitamin C deficiency
299,Calcium and vitamin D deficiency
300,Calcium deficiency
301,Calcium suppliment
302,Callus
303,Caloric feeding
304,Cancer
305,Cancer pain
306,Cancer patients receiving bone marrow transplant
307,Cancer patients receiving myelosuppressive chemotherapy
308,Cancer Prevention
309,Cancer therapy-induced hyperuricaemia
310,Candida albicans
311,Candida nappy rash
312,Candidaemia
313,Candidal balanitis
