PackageContainer_ID,Brand_ID,Container_Size,Unit_Price,Container_Type
273,815,60 ml bottle,20.0,Bottle
274,816,100 ml bottle,60.0,Bottle
275,834,30 gm tube,200.0,Tube
276,839,60 ml bottle,28.5,Bottle
277,843,100 ml bottle,80.24,Bottle
278,844,2 ml ampoule,16.06,Ampoule
279,845,2 ml ampoule,48.18,Ampoule
280,855,60 ml bottle,28.11,Bottle
281,862,60 ml bottle,85.0,Bottle
282,866,2 ml ampoule,16.0,Ampoule
283,867,500 ml bottle,350.0,Bottle
284,872,2 ml ampoule,16.0,Ampoule
285,873,2 ml ampoule,48.0,Ampoule
286,874,500 ml bottle,350.0,Bottle
287,875,500 ml bottle,400.0,Bottle
288,876,500 ml bottle,402.72,Bottle
289,877,500 ml bottle,352.37,Bottle
290,878,5 ml ampoule,5.47,Ampoule
291,881,500 ml bottle,350.0,Bottle
292,882,500 ml bottle,400.0,Bottle
293,883,500 ml bottle,401.52,Bottle
294,884,500 ml bottle,475.0,Bottle
295,885,500 ml bottle,950.0,Bottle
296,886,500 ml bottle,560.97,Bottle
297,887,3 mg ampoule,190.0,Ampoule
298,888,2 gm vial,300.0,Vial
299,898,2 ml ampoule,60.0,Ampoule
300,904,130 ml bottle,200.0,Bottle
301,905,450 ml bottle,350.0,Bottle
302,909,5 gm tube,75.23,Tube
303,938,10 gm tube,30.0,Tube
304,939,60 ml bottle,24.0,Bottle
305,950,100 ml bottle,50.0,Bottle
306,953,100 ml bottle,47.5,Bottle
307,954,1.2 gm vial,280.0,Vial
308,955,100 ml bottle,200.0,Bottle
309,958,100 ml bottle,220.0,Bottle
310,959,100 ml bottle,53.56,Bottle
311,960,60 ml bottle,29.89,Bottle
312,963,100 ml bottle,40.0,Bottle
313,966,15 ml bottle,30.11,Bottle
314,967,100 ml bottle,46.17,Bottle
315,968,100 ml bottle,200.0,Bottle
316,970,100 ml bottle,65.25,Bottle
317,971,100 ml bottle,85.26,Bottle
318,972,60 ml bottle,29.9,Bottle
319,979,15 ml bottle,28.0,Bottle
320,980,100 ml bottle,46.0,Bottle
321,983,100 ml bottle,40.0,Bottle
322,986,100 ml bottle,45.45,Bottle
323,989,100 ml bottle,47.29,Bottle
