Drug_Class_ID,Drug_Class_Name
69,Aural steroid & antibiotic combined preparations
70,Barbiturates
71,Barium Sulphate
72,Beclomethasone & Combined Preparations
73,Benzodiazepine antagonist
74,Benzodiazepine hypnotics
75,Benzodiazepine sedatives
76,Benzoyl peroxide; Azelaic acid & other preparations
77,Benzylpenicillin & Phenoxymethyl penicillin
78,Beta-adrenoceptor blocking drugs
79,Beta-blockers
80,Betamethasone & Combined preparations
81,Biguanides
82,Bile acid sequestrants
83,Bisphosphonate preparations
84,Black Seed Oil
85,Bleaching and Disinfectants
86,BPH/ Urinary retention/ Urinary incontinence
87,Broad spectrum penicillins
88,Bronchodilator
89,Bulk-forming laxatives
90,Butyrophenone drugs
91,Calcium Regulator
92,Calcium-channel blockers
93,Candida infections
94,Carbonic anhydrase inhibitor
95,Carboxylic acids and derivatives
96,Central Depolarizing muscle relaxants
97,Centrally acting antihypertensive drugs (central sympatholytic)
98,Centrally acting Skeletal Muscle Relaxants
99,Cerebral vasodilator & Neurosensory oxygenator drugs
100,Cerumenolytic
101,Chelating complex
102,Chlorhexidine & Chloroxylenol preparations
103,Cholagogues; Cholelitholytics & Hepatic Protectors
104,Clobetasol / Clobetasone & Combined Preparations
105,CNS stimulant drugs
106,Coal-tar preparations
107,Combination Insulin
108,Combination Oral hypoglycemic preparations
109,Combined anti- Tubercular Preparations
110,Combined antihypertensive preparations
111,Combined anxiolytics & anti-depressant drugs
112,Combined bronchodilators
113,Combined cough expectorants
114,Combined cough suppressants
115,Combined preparation for constipation
116,Combined preparations
117,Combined preparations: Inhibiting bone resorption
118,Compound steroidal preparations
119,Contrast medium for diagnostic procedures
120,Corticosteroid
121,Cough expectorants & mucolytics
122,Cough suppressant
123,Cromoglycate & related drugs
124,Crystal violet/ Gentian violet preparations
125,Cytotoxic Chemotherapy
126,Cytotoxic immunosuppressants
127,Decongestant
128,Depolarizing muscle relaxants
129,Digestive Enzyme
130,Dipeptidyl Peptidase-4 (DPP-4) inhibitor
131,Direct Renin Inhibitors
132,Disease-modifying antirheumatic drugs (DMARDs)
133,Dithranol & combined preparations
134,Dressing products for wounds/burns/ulcers
135,Drugs acting on the Uterus
136,Drugs affecting (inhibiting) gonadotrophin
137,Drugs affecting exocrine secretions
138,Drugs affecting the immune response
139,Drugs for Age-Related Macular Degeneration (AMD)
140,Drugs for Aphthous ulcer
141,Drugs for corneal oedema
142,Drugs for Dementia
143,Drugs for Dry eyes
144,Drugs for Erectile Dysfunction
145,Drugs for Growth failure
146,Drugs for Haemolytic Hypoplastic & Renal Anemia
147,Drugs for HIV / Anti-retroviral drugs
148,Drugs for Infertility
149,Drugs for Irritable Bowel Syndrome
150,Drugs for lens opacification
151,Drugs for Megaloblastic Anemia
152,Drugs for menopausal symptoms: Hormone replacement therapy
153,Drugs for Milk suppression
154,Drugs for miotics and glaucoma
155,Drugs for muscular energy metabolism
156,Drugs for Osteoarthritis
157,Drugs for reduction of serum phosphorus in patients with ESRD
158,Drugs for subcutaneous and mycoses
159,Drugs used for Rheumatoid Arthritis
160,Drugs used in Ano-rectal region
161,Drugs used in Cerebral Palsy
162,Drugs used in chronic kidney dialysis
163,Drugs used in diaper rash
164,Drugs used in Gout
165,Drugs used in meniere's diseases
166,Drugs used in Myasthenia Gravis
167,Drugs used in substance dependence
168,Drugs used in tremor; tics & related disorder
169,Drugs used in Vaginal and Vulval condition
170,Dyslipidaemic Agents
171,Ear Anti-Infectives & Antiseptics
172,Echinocandins
173,Electrolytes preparations
174,Emergency Contraceptive Pill
175,Emollients & combined preparations
176,Endothelin receptor antagonist
177,Enema & bowel cleansing solution
178,Enzymes
179,Ergot Alkaloids
180,Eye Anti-Infectives & Antiseptics
181,Ezetimibe
182,Farnesoid X Receptor Agonists
183,Female Sex hormones
184,Fibrates
185,Fibrinolytics (Thrombolytics)
186,First generation Cephalosporins
187,Fluocinolone & Combined Preparations
188,Fluticasone & combined preparations topical
189,Fourth generation Cephalosporins
190,Gadodiamide
191,Gadoversetamide
192,General (Inhalation) anesthetics
193,General (Intravenous) anesthetics
194,GLP-1 receptor agonists
195,Glucocorticoids
196,Glycopeptide
197,Gonadotropin-releasing hormone (GnRH) antagonist
198,Growth hormone antagonist
199,H2 receptor antagonist
200,Haematopoietic Agents
201,Haemodialysis solutions
202,Haemostatic drugs
203,Haemostatics
204,Hair Growth Inhibitor
205,Hematopoietic drug
206,Hepatic viral infections (Hepatitis B)
207,Hepatic viral infections (Hepatitis C)
208,Herbal and Nutraceuticals
209,Herpes simplex & Varicella-zoster virus infections
210,Hormonal Chemotherapy
211,Hormonal Implants
212,Hormone in bone formation by Inhibiting bone resorption
213,Hormone in bone formation by stimulation
214,Hormone preparations for other uses
215,Hydrocortisone & Combined preparations
216,Hydroquinone Preparations
217,Hyperkalaemia Products
218,Immunological Chemotherapy
219,Immunomodulator
220,Immunosuppressant
221,Inhibiting bone resorption
222,Inotropic-sympathomimetics
223,Intracellular antibiotic
224,Intravenous fluid preparations
225,Iodine compounds (Anti-septic Preparations)
226,Iron & Vitamin Combined preparations
227,Iron; Vitamin & Mineral Combined preparation
228,Irrigation during various surgical procedures
229,Irrigation Solution used in Urological Surgery
230,Leishmaniacides
231,Leukotriene receptor antagonists
232,Local & Surface anesthesia
233,Local Antipruritic
234,Locally acting Skeletal Muscle Relaxants
235,lodixanol
236,lohexol
237,Long Acting Insulin
238,Long acting penicillin
239,Long-acting selective Î²-adrenoceptor stimulants
240,Loop diuretics
241,lopamidol
242,lopanoic Acid
243,loversol
244,Macrolides
245,Male Sex hormones (Androgens)
246,Mast Cell Stabiliser
247,Mecillinams
248,Medicated Shampoos
249,Medium Acting Insulin
250,Meglitinide Analogues
251,Membrane stabilizing agent (Sodium channel blockers)
252,Methoxsalen preparation
253,Methyl xanthine derivatives
254,Minerals in bone formation
255,Miscellaneous prophylactic migraine preparations
